,U_mean,U_std_up,U_std_down,trainerr_mean,trainerr_std_up,trainerr_std_down,mod_mean,mod_std_up,mod_std_down
0.0054,0.06506581361599297,7.122136881806732e-05,7.122136881806732e-05,0.0,0.0,0.0,382370.7641118678,2542.9687638496493,2542.9687638496493
0.018000000000000002,0.06795452111388467,0.00024224908865996716,0.00024224908865996716,0.0,0.0,0.0,407800.6963319506,4869.353933616658,4869.353933616658
0.054,0.0786449750384664,0.0007188216229684107,0.0007188216229684107,6.8888888888896105e-06,6.22773565254831e-05,6.8888888888896105e-06,491573.42672238173,10010.2883331472,10010.2883331472
0.18000000000000002,0.11953636206306037,0.002388039619583844,0.002388039619583844,0.0027951944266725315,0.00121724753348547,0.00121724753348547,800577.4213136256,25318.044235697722,25318.044235697722
0.5399999999999999,0.232322953263036,0.0071038556541995505,0.0071038556541995505,0.024693333333333456,0.003552537608075401,0.003552537608075401,1655298.6673795339,67804.48890094121,67804.48890094121
1.8,0.635006426057744,0.025714070562609527,0.025714070562609527,0.06959822222222234,0.005801622318874629,0.005801622318874629,4412419.809102785,233597.68465463613,233597.68465463613
5.4,1.9113773110159142,0.06767068175244768,0.06767068175244768,0.1181279999999999,0.007121715093749765,0.007121715093749765,11554738.73166823,567650.4734966864,567650.4734966864
18.0,6.816478432361498,0.2511252210212754,0.2511252210212754,0.18104533333333328,0.007886454660435898,0.007886454660435898,32157654.37537646,1840356.2321021499,1840356.2321021499
54.0,21.12641069025353,0.8046362893990294,0.8046362893990294,0.23819377777777773,0.009469784609124425,0.009469784609124425,88735077.68763836,5100236.721769789,5100236.721769789
180.0,68.69783819138411,2.762909691307307,2.762909691307307,0.29862767999999995,0.011051965560744007,0.011051965560744007,295734667.43373984,20855298.775166493,20855298.775166493
540.0,168.08850066241524,7.833307920180576,7.833307920180576,0.3434402666666667,0.008804286965219042,0.008804286965219042,850306839.3321935,68025678.70142557,68025678.70142557
900.0,224.4576161774947,6.730889077276362,6.730889077276362,0.36550659555555554,0.010937778362674596,0.010937778362674596,1204069090.06072,37042504.4804183,37042504.4804183
1260.0,282.6410174648545,7.090354600600251,7.090354600600251,0.3607043555555556,0.007391882220215015,0.007391882220215015,1731831956.281719,55145565.01349612,55145565.01349612
