,q
U (c_0-s_0),0.48893276651715123
U (c_0-s_1),0.579707586874374
U (c_0-s_2),0.38048587366030656
U (c_0-s_3),0.5311020925523308
U (c_0-s_4),0.4618257310458017
U (c_1-s_0),0.48088572328035906
U (c_1-s_1),0.6112913814883393
U (c_1-s_2),0.4104676724683983
U (c_1-s_3),0.5383910061271739
U (c_1-s_4),0.5759036654171742
U (c_2-s_0),0.49377452409422523
U (c_2-s_1),0.6024964381455958
U (c_2-s_2),0.38767998852023633
U (c_2-s_3),0.5455961994362347
U (c_2-s_4),0.48857399843268623
U (c_0-s*_0),0.8052903209944101
U (c_0-s*_1),0.7263506059613887
U (c_0-s*_2),0.767282919483076
U (c_0-s*_3),0.6647423529937496
U (c_0-s*_4),0.5877352410283763
U (c_1-s*_0),0.7318445474442273
U (c_1-s*_1),0.6623180784227111
U (c_1-s*_2),0.7283889753108507
U (c_1-s*_3),0.6162650401271017
U (c_1-s*_4),0.5797479625851378
U (c_2-s*_0),0.8223105281155237
U (c_2-s*_1),0.719976637137117
U (c_2-s*_2),0.7716508406991718
U (c_2-s*_3),0.6551640287986084
U (c_2-s*_4),0.5951784842842492
U (c_0-c_1),0.7740996982475629
U (c_0-c_2),0.9239643846708191
U (c_1-c_2),0.824497204289854
