,q
s0-s*0,0.6616258964896509
s0-s*1,0.618624636880577
s0-s*2,0.5630977839740614
s0-s*3,0.6461720792793435
s0-s*4,0.6893201173795649
s1-s*0,0.6994877210775883
s1-s*1,0.6609552284674032
s1-s*2,0.5996435865202815
s1-s*3,0.6417045442432127
s1-s*4,0.6721331405532963
s2-s*0,0.5408430639656433
s2-s*1,0.6608259426849639
s2-s*2,0.6294025935899129
s2-s*3,0.5341250616361547
s2-s*4,0.5582924610404044
s3-s*0,0.6222219944594914
s3-s*1,0.6098789011771775
s3-s*2,0.6094171295497267
s3-s*3,0.6677181696239884
s3-s*4,0.6607774107526954
s4-s*0,0.6598990595700157
s4-s*1,0.5406275076320568
s4-s*2,0.5451452454050044
s4-s*3,0.6460973970484377
s4-s*4,0.6709928408083482
